C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/sampleCount,C0/noDataCount,C0/median,C0/p10,C0/p90,C0/cloudCoveragePercent
2026-08-02T00:00:00.000Z,-0.4095238149166107,0.8944246768951416,0.6234510658665543,0.18185635389895022,2800,1672,0.6752136945724487,0.3585450351238251,0.8258495330810547,0
2026-07-30T00:00:00.000Z,0.012442007660865784,0.7337228655815125,0.14034799360983904,0.11034246835554738,2800,1672,0.10256002843379974,0.04316546767950058,0.2940826714038849,69.85815602836887
2026-07-28T00:00:00.000Z,-0.009773977100849152,0.21252524852752686,0.04701790815062121,0.03194636063874101,2800,1672,0.04183267056941986,0.010279001668095589,0.09082218259572983,99.29078014184387
2026-07-23T00:00:00.000Z,-0.02337845042347908,-0.0008290892001241446,-0.012076991198853587,0.0037849837434151302,2800,1672,-0.012052549049258232,-0.01691610738635063,-0.007318773306906223,100
2026-07-20T00:00:00.000Z,0.03286384791135788,0.9012218117713928,0.6050066211729813,0.17937215724197428,2800,1672,0.6460674405097961,0.3400222957134247,0.807164192199707,0
2026-07-18T00:00:00.000Z,-0.015192389488220215,0.8117982745170593,0.243945676533916,0.19864242842293597,2800,1672,0.20506787300109863,0.020312607288360596,0.5454545617103577,54.25531914893617
2026-07-13T00:00:00.000Z,-0.09883721172809601,0.9028609395027161,0.6267479678404567,0.17307939035053496,2800,1672,0.6713224649429321,0.36668699979782104,0.8164874315261841,0
2026-07-10T00:00:00.000Z,-0.09022632986307144,0.13496461510658264,0.0027613284139033877,0.024344982519939384,2800,1672,-0.0016772894887253642,-0.01850837841629982,0.03196939080953598,99.29078014184385
2026-07-08T00:00:00.000Z,-0.40707963705062866,0.9075829386711121,0.6303305803593366,0.17882692889893254,2800,1672,0.6827957034111023,0.3675033152103424,0.8210290670394897,0
2026-07-03T00:00:00.000Z,-0.35227271914482117,0.8509856462478638,0.5572658197719818,0.18945192986629866,2800,1672,0.589960515499115,0.27001953125,0.7803496718406677,2.127659574468084
2026-06-30T00:00:00.000Z,-0.0954708382487297,0.6548856496810913,0.06832244338943542,0.12292871764395451,2800,1672,0.02293081395328045,-0.013149435631930828,0.22701525688171387,79.69858156028363
2026-06-28T00:00:00.000Z,0.021822849288582802,0.875283420085907,0.47563591956636553,0.18588165407327634,2800,1672,0.4820012152194977,0.22093023359775543,0.7226590514183044,7.712765957446803
2026-06-23T00:00:00.000Z,-0.10446106642484665,0.1969522088766098,0.030252598895303653,0.035176426249708834,2800,1672,0.026920227333903313,-0.008432888425886631,0.07378904521465302,90.42553191489361
2026-06-20T00:00:00.000Z,-0.4528985619544983,0.8108822107315063,0.3999054541865844,0.23415320475219592,2800,1672,0.44022905826568604,0.05928575620055199,0.698924720287323,32.09219858156026
2026-06-18T00:00:00.000Z,-0.09722686558961868,0.8327433466911316,0.1923691436970059,0.2543383840738045,2800,1672,0.062006764113903046,-0.010934494435787201,0.6439454555511475,67.55319148936165
2026-06-13T00:00:00.000Z,-0.15189872682094574,0.8862772583961487,0.6251653504115379,0.16324645561705609,2800,1672,0.6670415997505188,0.3869297206401825,0.8003048896789551,0
2026-06-10T00:00:00.000Z,0.14230769872665405,0.795615017414093,0.47837296774254184,0.13667642478281292,2800,1672,0.4762424826622009,0.29308030009269714,0.6591675877571106,3.9893617021276593
2026-06-08T00:00:00.000Z,-0.027685850858688354,0.25459030270576477,0.06632415793808454,0.0472521077739329,2800,1672,0.051579251885414124,0.0170894805341959,0.13805773854255676,91.84397163120569
2026-06-03T00:00:00.000Z,0.08195693045854568,0.2659775912761688,0.15536390187496196,0.034679409346090366,2800,1672,0.15801136195659637,0.11085474491119385,0.19828350841999054,97.60638297872346
2026-05-31T00:00:00.000Z,-0.3243243098258972,0.9068954586982727,0.6703902353905802,0.16344967573873614,2800,1672,0.7189915776252747,0.4200206398963928,0.8361111283302307,0
2026-05-29T00:00:00.000Z,-0.33103448152542114,0.9144609570503235,0.6748270378282943,0.16113619054773173,2800,1672,0.7230303287506104,0.4390513002872467,0.8382954001426697,0
2026-05-24T00:00:00.000Z,-0.003020042087882757,0.7999001145362854,0.26443675171306474,0.20440159460778157,2800,1672,0.18818315863609314,0.05592639371752739,0.6051856279373169,51.24113475177301
2026-05-21T00:00:00.000Z,-0.012436116114258766,0.6648923754692078,0.11010518892934101,0.13355064114559537,2800,1672,0.05337151885032654,0.013143979012966156,0.30783817172050476,80.9397163120567
2026-05-19T00:00:00.000Z,-0.2527472674846649,0.9184433221817017,0.688132133612291,0.15132357609759425,2800,1672,0.7321765422821045,0.4604218006134033,0.8401002287864685,0
2026-05-14T00:00:00.000Z,0.06817559897899628,0.7714797258377075,0.41564191667138434,0.1695533393647597,2800,1672,0.4160544276237488,0.16702382266521454,0.6381604075431824,20.65602836879433
2026-05-11T00:00:00.000Z,0.08517350256443024,0.8990455865859985,0.6197753001585725,0.14114849007274755,2800,1672,0.6128538846969604,0.43945422768592834,0.8070175647735596,0
2026-05-09T00:00:00.000Z,-0.2879121005535126,0.8980342149734497,0.67704577874128,0.13826251943010334,2800,1672,0.7129610776901245,0.47739505767822266,0.8176400661468506,0.08865248226950354
2026-05-04T00:00:00.000Z,0.2056017816066742,0.6733505725860596,0.4652788855848799,0.07736041930785122,2800,1672,0.47563621401786804,0.36038485169410706,0.5553680658340454,0.26595744680851086
